Drug,Drug_type,Condition,Date,Price,Location,Sales,Stock_Availability,Sentiment,Review,Rating
Cetirizine,Anti-allergics and Antihistamines,Allergy,3/15/2024,20,Dehradun,300,High,Effective,Cetirizine is very effective in treating allergy symptoms. The relief is almost immediate and long-lasting.,10
Povidone-iodine,Antiseptics,Wound Care,2/25/2024,21,Guwahati,150,Medium,Neutral,Povidone-iodine is a standard antiseptic. It does its job but is not particularly noteworthy.,5
Loperamide,Gastrointestinal Medications,Diarrhea,4/20/2023,22,Srinagar,200,High,Not-Effective,Loperamide did not work as well as expected. The symptoms persisted for longer than anticipated.,1
Salbutamol Inhalers,Anti-asthmatics and Respiratory Drugs,Asthma,1/20/2024,55,Rishikesh,155,Medium,Effective,Salbutamol Inhalers provide quick relief for asthma attacks. They are essential for managing respiratory issues.,10
Cetirizine,Anti-allergics and Antihistamines,Allergy,1/15/2024,58,Darjeeling,300,High,Not-Effective,Cetirizine worked initially but didn't provide long-term relief. Side effects were noticeable.,2
Paracetamol,Pain Relievers and Anti-inflammatory Drugs,Headache,07-10-2023,61,Guwahati,250,High,Neutral,Paracetamol is okay for occasional pain relief. It doesn't always last long enough for more severe pains.,5
Salbutamol Inhalers,Anti-asthmatics and Respiratory Drugs,Asthma,03-05-2024,62,Srinagar,120,Medium,Not-Effective,Salbutamol Inhalers were less effective during a recent asthma attack. I had to use them more frequently.,2
Amoxicillin,Antibiotics,Infection,02-10-2024,63,Jammu,210,High,Effective,Amoxicillin was effective in treating my infection. It was easy to use and had minimal side effects.,9
Paracetamol,Pain Relievers and Anti-inflammatory Drugs,Headache,2/20/2024,67,Gangtok,230,High,Not-Effective,Paracetamol sometimes doesn't alleviate my headaches as well as I hoped. I need stronger medication.,2
Loperamide,Gastrointestinal Medications,Diarrhea,3/25/2024,68,Darjeeling,200,Medium,Effective,Loperamide was effective for my stomach issues. It worked as expected and provided quick relief.,8
Povidone-iodine,Antiseptics,Wound Care,1/30/2024,39,Shimla,160,High,Neutral,Povidone-iodine is a basic antiseptic. It does the job but isn't particularly exceptional.,5
Salbutamol Inhalers,Anti-asthmatics and Respiratory Drugs,Asthma,2/15/2024,24,Leh,110,Medium,Effective,Salbutamol Inhalers are effective for asthma management. They provide quick relief and are easy to use.,8
Povidone-iodine,Antiseptics,Wound Care,7/20/2023,27,Gangtok,180,Medium,Effective,Povidone-iodine is a reliable antiseptic for wound care. It? a staple for first aid.,9
Aspirin,Cardiovascular Medicines,Heart Disease,3/30/2024,28,Darjeeling,200,Low,Not-Effective,Aspirin is good for heart health but can cause digestive issues. It's not always easy to tolerate.,2
Cetirizine,Anti-allergics and Antihistamines,Allergy,08-10-2023,29,Shimla,320,High,Effective,Cetirizine has provided excellent relief for my allergy symptoms. I am very satisfied with its performance.,6
Paracetamol,Pain Relievers and Anti-inflammatory Drugs,Headache,03-05-2024,32,Srinagar,220,High,Neutral,Paracetamol works well for minor headaches but doesn't always help with severe pain. It? decent overall.,5
Loperamide,Gastrointestinal Medications,Diarrhea,3/15/2023,33,Jammu,210,High,Effective,Loperamide helped alleviate my diarrhea symptoms quickly. It? a good medication for such issues.,9
Amoxicillin,Antibiotics,Infection,03-05-2024,36,Haridwar,230,High,Effective,Amoxicillin worked well for my bacterial infection. It had minimal side effects and was effective.,7
Insulin,Chronic Disease Medications,Diabetes,03-10-2024,37,Gangtok,80,Low,Effective,"Insulin is crucial for my diabetes management. Although it is pricey, it keeps my blood sugar in check.",8
Paracetamol,Pain Relievers and Anti-inflammatory Drugs,Headache,04-01-2024,38,Darjeeling,250,High,Not-Effective,Paracetamol is effective for mild pain but not strong enough for more severe headaches. I sometimes need more.,3
