Drug,Drug Type,Condition,Date,Sales,Cases,Region,Price,Stock Availability,Sentiment,Review
Doxycycline,Antibiotic,Acne,10-03-2023,300,1500,"Wayanad, Kerala",22,Moderate,Effective,"""All I can say is that it changed my life. I had severe acne, but this year in January, I started doxycycline. In March, I stopped because my face was now clear. Till now, no doxycycline, no acne. I am really happy."""
Doxycycline,Antibiotic,Malaria  ,22-04-2023,305,2500,"Wayanad, Kerala",23,High,Not-Effective,"""Really bad. Have experienced really bad side effects, inflammation in both ears, terrible pain, vomiting, breast pain. Have only taken 8 pills and will stop tomorrow."""
Ciprofloxacin,Antibiotic (Fluoroquinolone),Bone and Joint Infections,22-04-2023,330,2500,"Wayanad, Kerala",25,High,Neutral,"""This drug is a blessing and a curse. I've had repeated bouts of osteomyelitis having been on cipro for months at a time. Not mention seven surgeries and one amputation to resolve the infections. Cipro got rid the infection but did cause three of my teeth to become brittle and break. So please use caution when using this medication"""
Azithromycin,Antibiotic (Macrolide),Ear Infection,20-05-2023,320,1600,"Wayanad, Kerala",22,Moderate,Not-Effective,"""I have an ear and throat infection on my left side. My Doctor prescribed zythromycin for 5 days. I have been suffering each day now and the zythromycin is NOT working. It is day 4 now and still feel like day 1. Doctor noted no improvement but still wants me to finish all doses."""
Fluticasone/Salmeterol (Advair),Combination Inhaler,Asthma,20-05-2023,320,1600,"Wayanad, Kerala",32,Moderate,Effective," ""I suffered from severe asthma from childhood till I was 50. Several attacks required hospitalization and I was on every medicine known to treat asthma over this time period including extended periods of prednisolone, rescue inhalers, plus theophyline, Alupent, etc. I started taking Advair in 2002 and since that time have had no attacks whatsoever. For the first 3 years I still carried my Albuterol inhaler but finally had the confidence to stop carrying them. A momentous day indeed and not without some trepidation. I have suffered no side effects at all and this medicine has been a life changer and potentially a life saver for me. I hope it can do the same for you. I never believed I would be rid of asthma but I am."""
Acetaminophen (Paracetamol),Analgesic/Antipyretic,Muscle Pain,20-05-2023,380,1600,"Wayanad, Kerala",32,Moderate,Effective," ""Paracetamol The only thing that works for me without any side effects, takes about 20 minutes to kick in, fantastic for muscle pain and anxiety attacks and insomnia, I take two 500mg tablets every 4 hours (four times a day), for two days then I'm okay."""
chlorine dioxide.,Nutritional Formula,Wasting,05-07-2023,320,1500,"Wayanad, Kerala",28,Moderate,Effective,"""I am always shocked at the effectiveness of CDS (chlorine dioxide solution), both topically and internally. It is an ion of chlorine, NOT bleach! Don't believe the fear, but read up and educate yourself before using it ensure safe and effective use."""
Azithromycin,Antibiotic (Macrolide),Sinusitis,05-07-2023,350,1500,"Wayanad, Kerala",23,Moderate,Not-Effective,"""Absolutely horrible side effects. Chest pain, shortness of breath and volatile heart beat from 2nd day of therapy onward (it was a five-day course). Ended up in ER, but EKG seemed normal. I am now in the third day after taking the last pill. Cleared up my sinusitis, but side effects are still lingering. Feeling hot on the inside, but no fever. Feelings of hopelessness, severe depression. Heart rate up to 130 only to drop to 50. Chest pain. Fear of a heart attack. No appetite whatsoever. Surviving on soup. One moment I feel like my old self, the next I feel like I'm losing my mind."""
Doxycycline,Antibiotic,Lyme Disease,20-08-2023,310,1600,"Wayanad, Kerala",27,Moderate,Not-Effective,"""For many years Amoxicillin was my drug of choice. Last year it stopped work on me. I had to use Doxycycline which caused terrible burns all over my skin after 1 week of use. Even the layer of sunscreen cream did not prevent the burns. It did not matter - if I stayed in the shade of the tree or if it was not sunny days - I got those burns. Because I had to do multiple jobs outside the house and go to the stores - this side effect created terrible problems for me. For somebody who can stay inside for entire month - this side effect probably non existent. The drug effectively cured the condition."""
Cephalexin,Antibiotic,Skin and Soft Tissue Infections,05-01-2024,320,1500,"Wayanad, Kerala",30,Moderate,Effective,"""I had recurring boils in one area. They would show up randomly so the dr. was never able to take a culture since they would come to a head and then pop whenever. He put me on a 20-day regimen of Keflex (500) and another ointment antibiotic that he told me to dab into my nose. He said for some odd reason, boils seem to start in the nose. I followed the instructions and had a minor recurrence several months later. I went immediately to see him so he put me back on Keflex. These boils were clustered and leaving scars in the area. They haven't recurred and the scars are gone. Since I caught them starting the 2nd time, they never had a chance to come to a head because I stayed on top of it. I highly recommend it for a skin bacterial infection."""
chlorine dioxide.,Nutritional Formula,Malnutrition,15-01-2024,350,1500,"Wayanad, Kerala",28,Moderate,Neutral,"""Used protocol for 2 months. Believe 20 ml in 8-10 ounces water eight times a day on the hour. Used to relieve arthritis symptoms. Symptoms were relieved. However, 7 months after stopping the protocol, I had chance to get blood tests. My kidneys are damaged and are now 30% functional. I have no clue if the CDS was the cause of the kidney damage, because my last blood test was decades ago. By the way, I still have zero symptoms indicating any issues with my kidneys. I still believe in CDS and its ability to cure many health issues. I merely want to suggest to proceed with your protocol slowly (maybe start with 10 ml and work up); take a day off each week to help your body (I didn't always take that day off); maybe even have a blood test after a month or so just to gauge how your body is dealing with the CDS ingestion."""
Ciprofloxacin,Antibiotic (Fluoroquinolone),Salmonella Food Poisoning,15-01-2024,350,1500,"Wayanad, Kerala",30,Moderate,Not-Effective,"""This drug made me feel so much sicker and I'll never take it again. I was prescribed Cipro for a possible stomach infection at 1000mg a day for 7 days. I immediately started experiencing body aches, brain fog, and loss of appetite. On day 4 my ankles and other joints started aching, popping, & swelling. After that I called my doctor & stopped taking the drug. Its been a few days now and I can say I feel 110x better than I felt when I was on it. I finally have my appetite back & my joints don't swell & ache all day..."""
Fluconazole,Antifungal,Fungal Infections (Skin),15-01-2024,320,1500,"Wayanad, Kerala",30,Moderate,Neutral,"""Wow. I landed in the ER with the sorest of sore throats. I have a systemic yeast infection. I'm taking fluconazole 100mg for a month this medication is no joke! It makes me insanely dizzy, my legs feel as if they will fail. No appetite whatsoever. Brain fog, confusion I'm going to have to bite the bullet until I'm finished in 2 weeks. The only plus side of the coin is that it is clearing up the Thrush."""
Fluticasone/Salmeterol (Advair),Combination Inhaler,COPD,15-01-2024,350,1500,"Wayanad, Kerala",30,Moderate,Not-Effective,"""The preliminary diagnosis is COPD pending approval from a pulmonologist. I have been taking this medication for 6 weeks. It is making me tired, lethargic, light-headed, and gaining weight. Feel good in the morning until inhaling the first dose of the day. After 6 weeks there is no improvement. Plan to stop this medication very shortly. I need my energy back and do not want to fight weight gain."""
Cephalexin,Antibiotic,Wound infections,15-01-2024,350,1500,"Wayanad, Kerala",29,Moderate,Not-Effective,"""Prescribed in the ER after a superficial burn infected (4cm). My dose is 500mg x 4 times a day for 5 days and I am on the second day. I called to hospital to ask severe side effects. Been on antibiotics many times but with this drug the side effects are a lot heavier: - Extreme tiredness and weakness that I can?t even open my eyes - sleeping 10-12 hours (getting pill each 6 hour) waking up with severe fatigue and body aches - my anxiety is off to roof - I have ongoing heaviness feeling and breathing spasms on my chest - my stomach is so weird (not burn, not pain) like someone punching me and I have a pressure on my belly, feeling like I had a big meal but I haven?t had anything other than 1-2 small meals in 3 days. - mild sore throat and minor cough - and my infection is not healing fast At this stage I am fighting with antibiotics more than the infection ! + I am on probiotics and having yogurt I hope this helps, other comments helped me to understand what?s going on w my body."""
Metronidazole,Antibiotic/Antiprotozoal,Giardiasis,15-01-2024,320,1500,"Wayanad, Kerala",30,Moderate,Not-Effective,"""For me metronidazole is simply does not work for the treatment of Giardia. I was prescribed 400mg x 3 per day for 5 days. The drug also has some nasty side effects, tight achilles heels, mental confusion and I was off balance whilst walking."""
Hydrocortisone,Corticosteroid,Eczema,15-01-2024,320,1500,"Wayanad, Kerala",30,Moderate,Effective," ""I have used this for a long time for my eczema and it has worked well."""
Azithromycin,Antibiotic (Macrolide),Typhoid Fever  ,15-01-2024,360,1500,"Wayanad, Kerala",20,Moderate,Effective,"""I experience that azithromycin has been a very active drugs in the treatment of many bacteria infection due to its activeness and varieties of infection which I have use it on and it responded very well(e.g typhoid, pneumonia, bronchitis e.t.c)"""
Acetaminophen (Paracetamol),Analgesic/Antipyretic,Dengue Fever,15-01-2024,320,1500,"Wayanad, Kerala",30,Moderate,Neutral,"""Pain: not very effective. No side effects, easy to use. Fever: definitely a 10. Always helps. This got a high rating due to the fever-reducing."""
Doxycycline,Antibiotic,Prostatitis  ,15-01-2024,320,1500,"Wayanad, Kerala",25,Moderate,Neutral,"""Moderate Prostatitis: Doxy working after a slow first 3 weeks. On week 6 now. Don't stop too soon if its working. Many experts recommend up to 12 weeks if necessary. No side effects except slight nausea for an hour if taking on an empty stomach."""
Fluconazole,Antifungal,Fungal Infections (Systemic),20-01-2024,350,1600,"Wayanad, Kerala",28,Moderate,Effective,"""Great! Finally 0 side effects and seems to be getting the job done after suffering armpit fungal infection for 5 months with other treatments but working and making it worse from bad reactions! I took for 2 weeks along with a non steroid topical and combined everything is looking good! Very satisfied!"""
Hydrocortisone,Corticosteroid,Skin Rash,05-02-2024,350,1500,"Wayanad, Kerala",30,Moderate,Not-Effective,"""Burning and major itching problems."""
Fluticasone/Salmeterol (Advair),Combination Inhaler,COPD,05-02-2024,340,1500,"Wayanad, Kerala",30,Moderate,Neutral," ""I started taking Advair 50/500 about 2 years ago. I must say that I have noticed almost a complete turn around with my breathing problems which is wonderful. However, I am in the emergency room almost half of every month due to severe heartburn, gallbladder attacks, severe stomach, throat and esophagus pain. It is all due to the Advair. Have been on all the breathing medicines and Advair works the best. Just don't know if I can keep dealing with all these side effects."""
Ciprofloxacin,Antibiotic (Fluoroquinolone),Skin and Soft Tissue Infections,05-02-2024,340,1500,"Wayanad, Kerala",30,Moderate,Effective,"""Overall it wasn?t bad at all, never had any side effects I was good all the way through. Make sure you drink water daily when taking these pills. DON'T be scared by the bad reviews you see on the internet!! I was a little scared at first myself but it was perfectly fine for me and even got rid of my infection which was great! I would definitely recommend this but personally I would recommend trying a home remedy before going with any drug."""
Metronidazole,Antibiotic/Antiprotozoal,Trichomoniasis,05-02-2024,350,1500,"Wayanad, Kerala",34,Moderate,Not-Effective,"""Took 1 tablet by mouth twice a day and it was prescribed for 7 days. Experienced multiple side affects such as vomiting constantly, headache, nausea and dizziness. I couldn't handle it anymore so I stopped on the second day. Didn't work for me."""
chlorine dioxide.,Nutritional Formula,Underweight,22-02-2024,480,2500,"Wayanad, Kerala",27,High,Effective,"""I use it for myself & pets taking internally for treating bacterial, viral & fungal infections. Use it as a topical spray for wounds/injuries &as a mouth rinse. More effective than any antibiotic & works much faster with less side. Also use for detox. Big Pharma/medicine wants you to fear it because IT WORKS & they can't make BIG BUCKS from it. It can also cure all the things they have been promising cures for, but haven't delivered. Research for yourself. It is very safe & effective."""
Fluconazole,Antifungal,Esophageal Infections,22-02-2024,390,2500,"Wayanad, Kerala",31,High,Neutral,"""So far have been on it for two weeks. 200mg per day for first two weeks. Now 50mg per day. No side effects at all. I still have problems swallowing and still have burps that send stuff up into my throat, but it does seem slightly easier. Am also on omeprazole for erosive gastritis, and that is slowly working too. Also am eating smaller portions to help avoid choking and nausea."""
Acetaminophen (Paracetamol),Analgesic/Antipyretic,Arthritis,22-02-2024,390,2500,"Wayanad, Kerala",31,High,Not-Effective,"""Almost useless and toxic, acetaminophen is all I can take concomitantly with Plavix."""
Metronidazole,Antibiotic/Antiprotozoal,Bacterial Vaginosis,25-02-2024,350,2000,"Wayanad, Kerala",31,Low,Effective,"""I've taken 3 rounds of metronidazole over my life, and never once experienced the side effects mentioned here. The odor disappears in a day or so, and my vagina feels/smells new and squeaky clean by the end of treatment! Everyone will react differently but I had to throw my 2 cents in as there are so many Not-Effective reviews for a drug that's been great for me."""
